


{'loss': 2.574, 'grad_norm': 2905495.75, 'learning_rate': 2.1505376344086023e-06, 'epoch': 0.22}
{'loss': 0.4897, 'grad_norm': 4316.0927734375, 'learning_rate': 2.807646356033453e-05, 'epoch': 24.73}
{'loss': 0.4843, 'grad_norm': 1110.0062255859375, 'learning_rate': 2.783751493428913e-05, 'epoch': 24.95}
{'loss': 0.484, 'grad_norm': 1098.9595947265625, 'learning_rate': 2.759856630824373e-05, 'epoch': 25.16}
{'loss': 0.4837, 'grad_norm': 18680.0, 'learning_rate': 2.735961768219833e-05, 'epoch': 25.38}
{'loss': 0.4841, 'grad_norm': 1335.796875, 'learning_rate': 2.7120669056152932e-05, 'epoch': 25.59}
{'loss': 0.4887, 'grad_norm': 1056.957275390625, 'learning_rate': 2.6881720430107527e-05, 'epoch': 25.81}
{'loss': 0.4843, 'grad_norm': 1681.109130859375, 'learning_rate': 2.6642771804062128e-05, 'epoch': 26.02}
{'loss': 0.4841, 'grad_norm': 1088.5135498046875, 'learning_rate': 2.640382317801673e-05, 'epoch': 26.24}
{'loss': 0.4838, 'grad_norm': 1131.40625, 'learning_rate': 2.616487455197133e-05, 'epoch': 26.45}
{'loss': 0.4849, 'grad_norm': 1117994.25, 'learning_rate': 2.5925925925925925e-05, 'epoch': 26.67}
{'loss': 0.4882, 'grad_norm': 1919.5906982421875, 'learning_rate': 2.5686977299880526e-05, 'epoch': 26.88}
{'loss': 0.4841, 'grad_norm': 1291.4779052734375, 'learning_rate': 2.5448028673835127e-05, 'epoch': 27.1}
{'loss': 0.4836, 'grad_norm': 1235.219970703125, 'learning_rate': 2.5209080047789725e-05, 'epoch': 27.31}
{'loss': 0.4836, 'grad_norm': 1307.5443115234375, 'learning_rate': 2.4970131421744326e-05, 'epoch': 27.53}
{'loss': 0.489, 'grad_norm': 7106.21142578125, 'learning_rate': 2.4731182795698928e-05, 'epoch': 27.74}
{'loss': 0.4843, 'grad_norm': 7577.583984375, 'learning_rate': 2.4492234169653525e-05, 'epoch': 27.96}
{'loss': 0.4838, 'grad_norm': 1076.9007568359375, 'learning_rate': 2.4253285543608127e-05, 'epoch': 28.17}
{'loss': 0.4837, 'grad_norm': 1044.9676513671875, 'learning_rate': 2.4014336917562724e-05, 'epoch': 28.39}
{'loss': 0.4839, 'grad_norm': 1086.107666015625, 'learning_rate': 2.3775388291517326e-05, 'epoch': 28.6}
{'loss': 0.4882, 'grad_norm': 3770.9638671875, 'learning_rate': 2.3536439665471923e-05, 'epoch': 28.82}
{'loss': 0.484, 'grad_norm': 1530.7918701171875, 'learning_rate': 2.3297491039426525e-05, 'epoch': 29.03}
{'loss': 0.484, 'grad_norm': 1302.693603515625, 'learning_rate': 2.3058542413381122e-05, 'epoch': 29.25}
{'loss': 0.4837, 'grad_norm': 1078.376708984375, 'learning_rate': 2.2819593787335724e-05, 'epoch': 29.46}
{'loss': 0.4878, 'grad_norm': 98042.046875, 'learning_rate': 2.258064516129032e-05, 'epoch': 29.68}
{'loss': 0.4848, 'grad_norm': 1361.1239013671875, 'learning_rate': 2.2341696535244923e-05, 'epoch': 29.89}
{'loss': 0.484, 'grad_norm': 1071.8157958984375, 'learning_rate': 2.2102747909199524e-05, 'epoch': 30.11}
{'loss': 0.4835, 'grad_norm': 1462.5712890625, 'learning_rate': 2.1863799283154125e-05, 'epoch': 30.32}
{'loss': 0.4835, 'grad_norm': 1001.5928955078125, 'learning_rate': 2.1624850657108723e-05, 'epoch': 30.54}
{'loss': 0.4889, 'grad_norm': 1200.5419921875, 'learning_rate': 2.1385902031063324e-05, 'epoch': 30.75}
{'loss': 0.4841, 'grad_norm': 2912.384521484375, 'learning_rate': 2.1146953405017922e-05, 'epoch': 30.97}
{'loss': 0.4837, 'grad_norm': 1088.502685546875, 'learning_rate': 2.0908004778972523e-05, 'epoch': 31.18}
{'loss': 0.4834, 'grad_norm': 1193.3433837890625, 'learning_rate': 2.066905615292712e-05, 'epoch': 31.4}
{'loss': 0.4837, 'grad_norm': 1105.3118896484375, 'learning_rate': 2.0430107526881722e-05, 'epoch': 31.61}
{'loss': 0.4878, 'grad_norm': 1057.705322265625, 'learning_rate': 2.019115890083632e-05, 'epoch': 31.83}
{'loss': 0.4838, 'grad_norm': 8462.1767578125, 'learning_rate': 1.995221027479092e-05, 'epoch': 32.04}
{'loss': 0.4837, 'grad_norm': 1681.8115234375, 'learning_rate': 1.9713261648745522e-05, 'epoch': 32.26}
{'loss': 0.4834, 'grad_norm': 5535.2978515625, 'learning_rate': 1.947431302270012e-05, 'epoch': 32.47}
{'loss': 0.4878, 'grad_norm': 1297.3756103515625, 'learning_rate': 1.923536439665472e-05, 'epoch': 32.69}
{'loss': 0.4838, 'grad_norm': 1048.2061767578125, 'learning_rate': 1.899641577060932e-05, 'epoch': 32.9}
{'loss': 0.4837, 'grad_norm': 989.5491943359375, 'learning_rate': 1.875746714456392e-05, 'epoch': 33.12}
{'loss': 0.4834, 'grad_norm': 1561.3292236328125, 'learning_rate': 1.8518518518518518e-05, 'epoch': 33.33}
{'loss': 0.4834, 'grad_norm': 2624.547119140625, 'learning_rate': 1.827956989247312e-05, 'epoch': 33.55}
{'loss': 0.4881, 'grad_norm': 1156.774658203125, 'learning_rate': 1.8040621266427717e-05, 'epoch': 33.76}
{'loss': 0.4839, 'grad_norm': 1348.4967041015625, 'learning_rate': 1.780167264038232e-05, 'epoch': 33.98}
{'loss': 0.4836, 'grad_norm': 988.7298583984375, 'learning_rate': 1.7562724014336916e-05, 'epoch': 34.19}
{'loss': 0.4834, 'grad_norm': 1117.6156005859375, 'learning_rate': 1.7323775388291518e-05, 'epoch': 34.41}
{'loss': 0.4836, 'grad_norm': 1026.5479736328125, 'learning_rate': 1.708482676224612e-05, 'epoch': 34.62}
{'loss': 0.4869, 'grad_norm': 994.6993408203125, 'learning_rate': 1.684587813620072e-05, 'epoch': 34.84}
{'loss': 0.4836, 'grad_norm': 1147.466064453125, 'learning_rate': 1.6606929510155318e-05, 'epoch': 35.05}
{'loss': 0.4836, 'grad_norm': 1072.4981689453125, 'learning_rate': 1.636798088410992e-05, 'epoch': 35.27}
{'loss': 0.4834, 'grad_norm': 1001.572509765625, 'learning_rate': 1.6129032258064517e-05, 'epoch': 35.48}
{'loss': 0.4876, 'grad_norm': 1322.2999267578125, 'learning_rate': 1.5890083632019118e-05, 'epoch': 35.7}
{'loss': 0.4837, 'grad_norm': 1541.970458984375, 'learning_rate': 1.5651135005973716e-05, 'epoch': 35.91}
{'loss': 0.4836, 'grad_norm': 1985.3037109375, 'learning_rate': 1.5412186379928317e-05, 'epoch': 36.13}
{'loss': 0.4833, 'grad_norm': 906.05712890625, 'learning_rate': 1.5173237753882915e-05, 'epoch': 36.34}
{'loss': 0.4833, 'grad_norm': 1457.0623779296875, 'learning_rate': 1.4934289127837516e-05, 'epoch': 36.56}
{'loss': 0.4881, 'grad_norm': 996.8074951171875, 'learning_rate': 1.4695340501792116e-05, 'epoch': 36.77}
{'loss': 0.4837, 'grad_norm': 1047.9549560546875, 'learning_rate': 1.4456391875746717e-05, 'epoch': 36.99}
{'loss': 0.4834, 'grad_norm': 1212.0528564453125, 'learning_rate': 1.4217443249701315e-05, 'epoch': 37.2}
{'loss': 0.4833, 'grad_norm': 956.0435791015625, 'learning_rate': 1.3978494623655914e-05, 'epoch': 37.42}
{'loss': 0.4835, 'grad_norm': 3861.9833984375, 'learning_rate': 1.3739545997610515e-05, 'epoch': 37.63}
{'loss': 0.4874, 'grad_norm': 1164.9166259765625, 'learning_rate': 1.3500597371565113e-05, 'epoch': 37.85}
{'loss': 0.4835, 'grad_norm': 9378.1494140625, 'learning_rate': 1.3261648745519714e-05, 'epoch': 38.06}
{'loss': 0.4834, 'grad_norm': 964.1607055664062, 'learning_rate': 1.3022700119474312e-05, 'epoch': 38.28}
{'loss': 0.4832, 'grad_norm': 1056.2996826171875, 'learning_rate': 1.2783751493428913e-05, 'epoch': 38.49}
{'loss': 0.4866, 'grad_norm': 1172.4422607421875, 'learning_rate': 1.2544802867383513e-05, 'epoch': 38.71}
{'loss': 0.4835, 'grad_norm': 967.5564575195312, 'learning_rate': 1.2305854241338114e-05, 'epoch': 38.92}
{'loss': 0.4836, 'grad_norm': 1465.8759765625, 'learning_rate': 1.2066905615292714e-05, 'epoch': 39.14}
{'loss': 0.4832, 'grad_norm': 1189.8564453125, 'learning_rate': 1.1827956989247313e-05, 'epoch': 39.35}
{'loss': 0.4833, 'grad_norm': 960.0475463867188, 'learning_rate': 1.1589008363201913e-05, 'epoch': 39.57}
{'loss': 0.4874, 'grad_norm': 1099.63916015625, 'learning_rate': 1.135005973715651e-05, 'epoch': 39.78}
{'loss': 0.4836, 'grad_norm': 989.5223999023438, 'learning_rate': 1.1111111111111112e-05, 'epoch': 40.0}
{'loss': 0.4836, 'grad_norm': 2091.76904296875, 'learning_rate': 1.0872162485065711e-05, 'epoch': 40.22}
{'loss': 0.4832, 'grad_norm': 1693.6962890625, 'learning_rate': 1.063321385902031e-05, 'epoch': 40.43}
{'loss': 0.4835, 'grad_norm': 1060.2763671875, 'learning_rate': 1.039426523297491e-05, 'epoch': 40.65}
{'loss': 0.4866, 'grad_norm': 1066.627685546875, 'learning_rate': 1.015531660692951e-05, 'epoch': 40.86}
{'loss': 0.4837, 'grad_norm': 5827.1259765625, 'learning_rate': 9.916367980884111e-06, 'epoch': 41.08}
{'loss': 0.4832, 'grad_norm': 1294.617919921875, 'learning_rate': 9.67741935483871e-06, 'epoch': 41.29}
{'loss': 0.4832, 'grad_norm': 1258.5018310546875, 'learning_rate': 9.43847072879331e-06, 'epoch': 41.51}
{'loss': 0.4871, 'grad_norm': 978.144287109375, 'learning_rate': 9.19952210274791e-06, 'epoch': 41.72}
{'loss': 0.4835, 'grad_norm': 1115.894775390625, 'learning_rate': 8.960573476702509e-06, 'epoch': 41.94}
{'loss': 0.4834, 'grad_norm': 1384.819580078125, 'learning_rate': 8.721624850657108e-06, 'epoch': 42.15}
{'loss': 0.4831, 'grad_norm': 1039.4273681640625, 'learning_rate': 8.48267622461171e-06, 'epoch': 42.37}
{'loss': 0.4835, 'grad_norm': 910.0833740234375, 'learning_rate': 8.24372759856631e-06, 'epoch': 42.58}
{'loss': 0.4864, 'grad_norm': 1047.902099609375, 'learning_rate': 8.004778972520909e-06, 'epoch': 42.8}
{'loss': 0.4835, 'grad_norm': 1198.1676025390625, 'learning_rate': 7.765830346475508e-06, 'epoch': 43.01}
{'loss': 0.4834, 'grad_norm': 1045.999267578125, 'learning_rate': 7.526881720430108e-06, 'epoch': 43.23}
{'loss': 0.4832, 'grad_norm': 998.532958984375, 'learning_rate': 7.287933094384708e-06, 'epoch': 43.44}
{'loss': 0.4834, 'grad_norm': 1505.00537109375, 'learning_rate': 7.048984468339308e-06, 'epoch': 43.66}
{'loss': 0.4863, 'grad_norm': 1160.295166015625, 'learning_rate': 6.810035842293908e-06, 'epoch': 43.87}
{'loss': 0.4835, 'grad_norm': 2070.41845703125, 'learning_rate': 6.5710872162485075e-06, 'epoch': 44.09}
{'loss': 0.4832, 'grad_norm': 1140.049560546875, 'learning_rate': 6.332138590203107e-06, 'epoch': 44.3}
{'loss': 0.4831, 'grad_norm': 1203.5587158203125, 'learning_rate': 6.0931899641577065e-06, 'epoch': 44.52}
{'loss': 0.4868, 'grad_norm': 1487.0587158203125, 'learning_rate': 5.854241338112306e-06, 'epoch': 44.73}
{'loss': 0.4835, 'grad_norm': 1015.1158447265625, 'learning_rate': 5.6152927120669055e-06, 'epoch': 44.95}
{'loss': 0.4833, 'grad_norm': 1041.080810546875, 'learning_rate': 5.376344086021506e-06, 'epoch': 45.16}
{'loss': 0.4831, 'grad_norm': 4591.0517578125, 'learning_rate': 5.137395459976105e-06, 'epoch': 45.38}
{'loss': 0.4834, 'grad_norm': 1082.972412109375, 'learning_rate': 4.898446833930706e-06, 'epoch': 45.59}
{'loss': 0.4862, 'grad_norm': 1015.169677734375, 'learning_rate': 4.659498207885305e-06, 'epoch': 45.81}
{'loss': 0.4835, 'grad_norm': 1584.730712890625, 'learning_rate': 4.420549581839905e-06, 'epoch': 46.02}
{'loss': 0.4834, 'grad_norm': 1005.2191162109375, 'learning_rate': 4.181600955794504e-06, 'epoch': 46.24}
{'loss': 0.4832, 'grad_norm': 978.8411254882812, 'learning_rate': 3.942652329749104e-06, 'epoch': 46.45}
{'loss': 0.4841, 'grad_norm': 196418.40625, 'learning_rate': 3.7037037037037037e-06, 'epoch': 46.67}
{'loss': 0.486, 'grad_norm': 1542.899658203125, 'learning_rate': 3.4647550776583037e-06, 'epoch': 46.88}
{'loss': 0.4834, 'grad_norm': 1172.843505859375, 'learning_rate': 3.225806451612903e-06, 'epoch': 47.1}
{'loss': 0.4831, 'grad_norm': 1100.403076171875, 'learning_rate': 2.986857825567503e-06, 'epoch': 47.31}
{'loss': 0.4832, 'grad_norm': 1117.8031005859375, 'learning_rate': 2.747909199522103e-06, 'epoch': 47.53}
{'loss': 0.4862, 'grad_norm': 1182.0980224609375, 'learning_rate': 2.5089605734767026e-06, 'epoch': 47.74}
{'loss': 0.4835, 'grad_norm': 2097.7109375, 'learning_rate': 2.2700119474313025e-06, 'epoch': 47.96}
{'loss': 0.4833, 'grad_norm': 1042.4129638671875, 'learning_rate': 2.031063321385902e-06, 'epoch': 48.17}
{'loss': 0.4831, 'grad_norm': 971.6002197265625, 'learning_rate': 1.7921146953405017e-06, 'epoch': 48.39}
{'loss': 0.4836, 'grad_norm': 972.81005859375, 'learning_rate': 1.5531660692951017e-06, 'epoch': 48.6}
{'loss': 0.4862, 'grad_norm': 2510.645751953125, 'learning_rate': 1.3142174432497014e-06, 'epoch': 48.82}
{'loss': 0.4833, 'grad_norm': 1437.30126953125, 'learning_rate': 1.0752688172043011e-06, 'epoch': 49.03}
{'loss': 0.4833, 'grad_norm': 1142.1484375, 'learning_rate': 8.363201911589009e-07, 'epoch': 49.25}
{'loss': 0.4831, 'grad_norm': 937.0361328125, 'learning_rate': 5.973715651135007e-07, 'epoch': 49.46}
{'loss': 0.4865, 'grad_norm': 141700.953125, 'learning_rate': 3.5842293906810036e-07, 'epoch': 49.68}
